model,coef,mse_train,rmse_train,mae_train,mape_train,mse_test,rmse_test,mae_test,mape_test
"reg_trend: negative_score_mean, neutral_score_mean, positive_score_mean","{'const': 7838.797389186541, 'negative_score_mean': -1332.6056634227516, 'neutral_score_mean': 164.41791640408167, 'positive_score_mean': 90.14771200152178, 'time_index': -0.38672653456977846}",368392.27734320017,606.9532744315662,475.7573360182161,6.812676006615659,2131295.2150085303,1459.8956178468823,1452.5604728611463,23.695680759410994
"reg_trend: negative_score_sd, neutral_score_sd, positive_score_sd","{'const': 7986.667792158565, 'negative_score_sd': -1659.2290552524103, 'neutral_score_sd': -114.56536122501554, 'positive_score_sd': 591.961676879942, 'time_index': -0.3730629306823986}",371567.6889208059,609.5635232859705,477.7778715940227,6.839570662140103,2070445.4066795288,1438.9042381894387,1432.6830186805646,23.371675477544997
"reg_trend: negative_score_min, neutral_score_min, positive_score_min","{'const': 7629.953031834799, 'negative_score_min': -12150.06671764546, 'neutral_score_min': 182.9143888747506, 'positive_score_min': 150.94543397315636, 'time_index': -0.3822038604696151}",381255.5590144431,617.4589533033294,484.8307420445885,6.939804394663786,2148479.693162914,1465.7693178542502,1461.1304338907169,23.837091565573466
"reg_trend: negative_score_max, neutral_score_max, positive_score_max","{'const': 7523.5146250717235, 'negative_score_max': -495.51809812154823, 'neutral_score_max': 194.15730080428452, 'positive_score_max': 370.7249113665551, 'time_index': -0.3740010676688735}",381012.91698345344,617.2624376903664,483.671170287337,6.923555791218071,2073687.9388990642,1440.0305340162286,1435.5234224973979,23.4192194853939
reg: baseline_trend,"{'const': 7589.691805644461, 'x1': -0.3741980357312515}",382388.4811592138,618.3756796310911,485.0058017564242,6.942861177238449,2077058.517051532,1441.2003736647905,1436.7199217451257,23.43865500806177
"reg: negative_score_mean, neutral_score_mean, positive_score_mean","{'const': 7851.664523495421, 'negative_score_mean': -1593.8572290556804, 'neutral_score_mean': -850.2391690678035, 'positive_score_mean': -221.69204599473227}",463157.71797178645,680.5569175107887,565.4610597341017,8.10562931883636,882492.1283711854,939.4105217481788,928.2432098415095,15.156707041869927
"reg: negative_score_sd, neutral_score_sd, positive_score_sd","{'const': 7823.066655525684, 'negative_score_sd': -1582.9700465784533, 'neutral_score_sd': -1800.4199171970845, 'positive_score_sd': 1113.5013693993708}",459026.32146209787,677.5148127252259,560.1826726167603,8.029807677027563,888976.1356362619,942.8553100217773,931.1899938378697,15.205271946798565
"reg: negative_score_min, neutral_score_min, positive_score_min","{'const': 7035.703348215671, 'negative_score_min': 9099.118608773988, 'neutral_score_min': 481.46082049434307, 'positive_score_min': 226.55000491126412}",474309.2098722014,688.7011034347204,570.4692120978136,8.182024482320749,839888.10192474,916.4540915532758,908.8702162484184,14.841677509845322
"reg: negative_score_max, neutral_score_max, positive_score_max","{'const': 7707.696354902777, 'negative_score_max': -596.8917234773319, 'neutral_score_max': -664.5047506750831, 'positive_score_max': 596.6074119660495}",469659.17608879326,685.3168435758698,567.2850354970569,8.133310585561777,836231.9756352989,914.4572027357534,906.1823232226209,14.798632665529082
"ARIMA: negative_score_mean, neutral_score_mean, positive_score_mean","negative_score_mean      -9.122770
neutral_score_mean       -6.002511
positive_score_mean       0.151567
ar.L1                    -0.298040
ar.L2                    -0.053630
ma.L1                     0.296971
sigma2                 6076.266508
dtype: float64",18769.085762762537,137.00031300242543,59.475593999998544,0.8627812069394489,27150.462943840215,164.7739753232901,141.85299614202344,2.334257039937161
"ARIMA: negative_score_sd, neutral_score_sd, positive_score_sd","negative_score_sd     -13.337640
neutral_score_sd      -12.115796
positive_score_sd      -3.858072
ar.L1                  -0.301720
ar.L2                  -0.054364
ma.L1                   0.301238
sigma2               6074.013259
dtype: float64",18795.250018081402,137.09576951197803,59.48883750107424,0.8630096416180224,27305.23100329289,165.24294539644617,142.23863798885407,2.3406587696374577
"ARIMA: negative_score_min, neutral_score_min, positive_score_min","negative_score_min     622.880510
neutral_score_min       24.541757
positive_score_min      25.566286
ar.L1                   -0.298870
ar.L2                   -0.052326
ma.L1                    0.299369
sigma2                6068.067159
dtype: float64",18738.21327278782,136.88759356781688,59.543141813771484,0.8636251671289243,27220.378164892267,164.9859938446057,141.97274168653357,2.33630624194053
"ARIMA: negative_score_max, neutral_score_max, positive_score_max","negative_score_max       5.210669
neutral_score_max      -16.009305
positive_score_max      -3.594973
ar.L1                   -0.297025
ar.L2                   -0.054274
ma.L1                    0.298096
sigma2                6073.349849
dtype: float64",18807.723144907446,137.14125252784973,59.50581074539898,0.8632314306491905,27157.874636504097,164.79646427185293,141.92673337016677,2.3354393402481453
ARIMA: base,"ar.L1       -0.294522
ar.L2       -0.053917
ma.L1        0.294771
sigma2    6076.576811
dtype: float64",18753.51430651546,136.94347120806987,59.515069498458466,0.8633231659533126,27180.864492444525,164.86620178934348,141.94349180061386,2.335751695715115
"LSTM: negative_score_mean, neutral_score_mean, positive_score_mean",,8544.758259409371,92.43786161205468,67.66221811281028,0.9784523189028732,3440.3378087653487,58.65439291958744,47.371061731557376,0.7749576732872739
"LSTM: negative_score_sd, neutral_score_sd, positive_score_sd",,8362.272428068709,91.44546149519236,66.8335601590204,0.9666408797177362,3363.8247005509547,57.9984887781652,46.85590099897541,0.7664960883959561
"LSTM: negative_score_min, neutral_score_min, positive_score_min",,7812.720403338578,88.38959442908751,64.65001575659353,0.9342814596520989,2531.1079159760084,50.310117431546594,39.202268506659834,0.6409385162448273
"LSTM: negative_score_max, neutral_score_max, positive_score_max",,7452.338063196256,86.32692548212438,63.21458541112589,0.9131196398176145,2416.4261434078217,49.1571576009824,38.290559362192624,0.6258933076537727
LSTM: baseline,,8532.863923118502,92.37350227808028,68.14000711109387,0.9833051555332633,2527.963023913109,50.278852651120715,38.642826403601696,0.6316205487895887
